onset	duration	begsample	endsample	offset	ai_hb
13260	30	3394561	3402240	0	-2
13290	30	3402241	3409920	0	-2
13320	30	3409921	3417600	0	-2
13350	30	3417601	3425280	0	-2
13380	30	3425281	3432960	0	-2
13410	30	3432961	3440640	0	-2
13440	30	3440641	3448320	0	-2
13470	30	3448321	3456000	0	-2
13500	30	3456001	3463680	0	-2
13530	30	3463681	3471360	0	-2
13560	30	3471361	3479040	0	-2
13590	30	3479041	3486720	0	-2
13620	30	3486721	3494400	0	-2
13650	30	3494401	3502080	0	-2
13680	30	3502081	3509760	0	-2
13710	30	3509761	3517440	0	-2
13740	30	3517441	3525120	0	-2
13770	30	3525121	3532800	0	-2
13800	30	3532801	3540480	0	-2
13830	30	3540481	3548160	0	-2
13860	30	3548161	3555840	0	-2
13890	30	3555841	3563520	0	-2
13920	30	3563521	3571200	0	-2
13950	30	3571201	3578880	0	-2
13980	30	3578881	3586560	0	-2
14010	30	3586561	3594240	0	-2
14040	30	3594241	3601920	0	-2
14070	30	3601921	3609600	0	-2
14100	30	3609601	3617280	0	-2
14130	30	3617281	3624960	0	-2
14160	30	3624961	3632640	0	-2
14190	30	3632641	3640320	0	-2
14220	30	3640321	3648000	0	-2
14250	30	3648001	3655680	0	-2
14280	30	3655681	3663360	0	-2
14310	30	3663361	3671040	0	-2
14340	30	3671041	3678720	0	-2
14370	30	3678721	3686400	0	-2
14400	30	3686401	3694080	0	-2
14430	30	3694081	3701760	0	-2
14460	30	3701761	3709440	0	-2
14490	30	3709441	3717120	0	-2
14520	30	3717121	3724800	0	-2
14550	30	3724801	3732480	0	-2
14580	30	3732481	3740160	0	-2
14610	30	3740161	3747840	0	-2
14640	30	3747841	3755520	0	-2
14670	30	3755521	3763200	0	-2
14700	30	3763201	3770880	0	-2
14730	30	3770881	3778560	0	-2
14760	30	3778561	3786240	0	-2
14790	30	3786241	3793920	0	-2
14820	30	3793921	3801600	0	-2
14850	30	3801601	3809280	0	-2
14880	30	3809281	3816960	0	-2
14910	30	3816961	3824640	0	-2
14940	30	3824641	3832320	0	-2
14970	30	3832321	3840000	0	-2
15000	30	3840001	3847680	0	-2
15030	30	3847681	3855360	0	-2
15060	30	3855361	3863040	0	-2
15090	30	3863041	3870720	0	-2
15120	30	3870721	3878400	0	-2
15150	30	3878401	3886080	0	-2
15180	30	3886081	3893760	0	-2
15210	30	3893761	3901440	0	-2
15240	30	3901441	3909120	0	-2
15270	30	3909121	3916800	0	-2
15300	30	3916801	3924480	0	-2
15330	30	3924481	3932160	0	-2
15360	30	3932161	3939840	0	-2
15390	30	3939841	3947520	0	-2
15420	30	3947521	3955200	0	-2
15450	30	3955201	3962880	0	-2
15480	30	3962881	3970560	0	-2
15510	30	3970561	3978240	0	-2
15540	30	3978241	3985920	0	-2
15570	30	3985921	3993600	0	-2
15600	30	3993601	4001280	0	-2
15630	30	4001281	4008960	0	-2
15660	30	4008961	4016640	0	-2
15690	30	4016641	4024320	0	-2
15720	30	4024321	4032000	0	-2
15750	30	4032001	4039680	0	-2
15780	30	4039681	4047360	0	-2
15810	30	4047361	4055040	0	-2
15840	30	4055041	4062720	0	-2
15870	30	4062721	4070400	0	-2
15900	30	4070401	4078080	0	-2
15930	30	4078081	4085760	0	-2
15960	30	4085761	4093440	0	-2
15990	30	4093441	4101120	0	-2
16020	30	4101121	4108800	0	-2
16050	30	4108801	4116480	0	-2
16080	30	4116481	4124160	0	-2
16110	30	4124161	4131840	0	-2
16140	30	4131841	4139520	0	-2
16170	30	4139521	4147200	0	-2
16200	30	4147201	4154880	0	-2
16230	30	4154881	4162560	0	-2
16260	30	4162561	4170240	0	-2
16290	30	4170241	4177920	0	-2
16320	30	4177921	4185600	0	-2
16350	30	4185601	4193280	0	-2
16380	30	4193281	4200960	0	-2
16410	30	4200961	4208640	0	-2
16440	30	4208641	4216320	0	-2
16470	30	4216321	4224000	0	-2
16500	30	4224001	4231680	0	-2
16530	30	4231681	4239360	0	-2
16560	30	4239361	4247040	0	-2
16590	30	4247041	4254720	0	-2
16620	30	4254721	4262400	0	-2
16650	30	4262401	4270080	0	-2
16680	30	4270081	4277760	0	-2
16710	30	4277761	4285440	0	-2
16740	30	4285441	4293120	0	-2
16770	30	4293121	4300800	0	-2
16800	30	4300801	4308480	0	-2
16830	30	4308481	4316160	0	-2
16860	30	4316161	4323840	0	-2
16890	30	4323841	4331520	0	-2
16920	30	4331521	4339200	0	-2
16950	30	4339201	4346880	0	-2
16980	30	4346881	4354560	0	-2
17010	30	4354561	4362240	0	-2
17040	30	4362241	4369920	0	-2
17070	30	4369921	4377600	0	-2
17100	30	4377601	4385280	0	-2
17130	30	4385281	4392960	0	-2
17160	30	4392961	4400640	0	-2
17190	30	4400641	4408320	0	-2
17220	30	4408321	4416000	0	-2
17250	30	4416001	4423680	0	-2
17280	30	4423681	4431360	0	-2
17310	30	4431361	4439040	0	-2
17340	30	4439041	4446720	0	-2
17370	30	4446721	4454400	0	-2
17400	30	4454401	4462080	0	-2
17430	30	4462081	4469760	0	-2
17460	30	4469761	4477440	0	-2
17490	30	4477441	4485120	0	-2
17520	30	4485121	4492800	0	-2
17550	30	4492801	4500480	0	-2
17580	30	4500481	4508160	0	-2
17610	30	4508161	4515840	0	-2
